Proveedor,Nombre del curso (MAYUSC),Nombre del curso (MINUSC),Descripción del curso,Número de horas de la formación,Tipo de certificado,Temática,Grupo,Sector de oportunidad ocupacional,Palabras Clave,Nombre del curso
SENA,,Administración de recursos humanos,"Muchos son los elementos que componen las organizaciones de hoy en día, pero de ellos el más importante es el capital social, ya que este define el rumbo que ella tomará y será pieza clave en el éxito o declive de la misma.
Por lo tanto es menester que los administradores del recurso humano asuman entonces acciones orientadoras para elevar las competencias de cada uno de los individuos que hacen parte de una organización.
Para esto,  es necesario reconocer los elementos que permiten una adecuada orientación del personal en el desarrollo de las funciones, según el área y los procesos internos de toda organización para generar un clima adecuado y potenciar a sus integrantes como seres activos.
El programa tiene como fin ofrecer elementos de corte administrativo, procedimental y actitudinal para el desarrollo de competencias en la dirección del talento humano, según políticas y procesos organizacionales.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Turismo, hoteles y gastronomía.","ORGANIZACIONES, TALENTO HUMANO, GESTIÓN HUMANA","ADMINISTRACIÓN RECURSOS HUMANOS ORGANIZACIONES, TALENTO HUMANO, GESTIÓN HUMANA"
SENA,,Administración y control de inventarios,"Es una herramienta que en todos los tiempos ha sido determinante para el eficiente funcionamiento de las organizaciones, por ello la necesidad de
aplicar las nuevas tecnologías para un mejor desempeño en esta área.
El aporte para mejorar el desempeño de los participantes al programa es el desarrollar la competencia que le permita clasificar los documentos de hechos económicos.
Este programa de formación pertenece a la línea tecnológica de la acción de formación cliente, hace parte de la Formación Profesional Integral que ofrece el SENA, basado en el enfoque de competencias laborales y el aprendizaje significativo, cuyo objetivo principal es formar personas con conocimiento, habilidades, destrezas, principios y valores relevantes y pertinentes para mejor desempeño laboral.
Como resultado del proceso de formación el aprendiz estará en capacidad de Implementar un método teórico-práctico que le proporcione al estudiante la facilidad y la guía para el entendimiento de los  conceptos e información sobre inventarios, herramienta excelente para el aprendizaje y la práctica.",40.0,Certificado de aprobación,Fórmate,Otros,"Industria (manufacturas), Hidrocarburos y energía - renovables, Logística y Transporte.","ADMINISTRACIÓN, INVENTARIOS, CONTROL, MERCANCÍAS","ADMINISTRACIÓN CONTROL INVENTARIOS ADMINISTRACIÓN, INVENTARIOS, CONTROL, MERCANCÍAS"
SENA,ADMINISTRACIÓN Y RECUPERACIÓN DE LA CARTERA DE CRÉDITOS,Administración y recuperación de la cartera de créditos,"La administración y recuperación de cartera es entendida como el conjunto de actividades para evitar el vencimiento de las cuentas por cobrar, para esto se debe realizar la evaluación, seguimiento y control de los pagos pendientes y encaminar los esfuerzos para lograr un pago pronto y completo de las deudas. Los temas que el aprendiz verá en este curso son los siguientes: Elementos de la administración de cartera, estrategias en el proceso de cobranza, aspectos contables, intereses, amortización y contabilizaciones, normatividad de crédito y cartera. ",40.0,Certificado de aprobación,Fórmate,Otros,Servicios financieros,"CARTERA, COBRANZA, ESTRATEGIAS DE PAGO, CALL CENTER, TELEFONÍA, SERVICIO AL CLIENTE","ADMINISTRACIÓN RECUPERACIÓN CARTERA CRÉDITOS CARTERA, COBRANZA, ESTRATEGIAS PAGO, CALL CENTER, TELEFONÍA, SERVICIO AL CLIENTE"
SENA,ALMACENAMIENTO Y PREPARACIÓN DE LAS MERCANCÍAS,Almacenamiento y preparación de las mercancías ,"Almacenar y preparar la mercancía para cumplir con los compromisos pactados con los clientes,
requiere de una planeación y de una buena utilización de los recursos humanos, técnicos y
tecnológicos, aplicando todas las herramientas administrativas existentes, para que la mercancía
esté dispuesta antes de su despacho",30.0,Certificado de aprobación,Fórmate,Otros,"Industria (manufacturas), Logística y Transporte","ADMINISTRACIÓN, INVENTARIOS, CONTROL, MERCANCÍAS","ALMACENAMIENTO PREPARACIÓN MERCANCÍAS ADMINISTRACIÓN, INVENTARIOS, CONTROL, MERCANCÍAS"
SENA,,Análisis financiero,"La actual situación imperante en el mundo caracterizada por una muy fuerte competencia global,
bruscas y repentinas alteraciones económico-financieras generadoras de fuertes cambios en la
cotización de las monedas y las tasas de interés, importantes variaciones en los precios de las
materias primas, y continuos cambios en los gustos y preferencias de los consumidores, da lugar a
que las empresas deban ejercer un monitoreo constante de su situación financiera y productiva.
El aporte para mejorar el desempeño de los participantes al programa es el desarrollar la
competencia que le permita analizar y interpretar los resultados de la gestión contable y financiera
de la organización.
",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Servicios financieros.",ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS,ANÁLISIS FINANCIERO ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS
SENA,,Aplicación de conceptos de economía circular en contextos productivos,"La promulgación de los 17 Objetivos del Desarrollo Sostenible (ODS) como un acuerdo global sobre las prioridades del desarrollo económico, social y ambiental que dirigen a los
diferentes actores públicos, privados y organizaciones del tercer sector (UNEP, 2015), establecen metas como: trabajo decente y crecimiento económico (ODS 8), industria innovación e
infraestructura (ODS 9), ciudades y comunidades sostenibles (ODS 11), la producción y consumo sostenible (ODS 12) y la acción por el clima (ODS 13). Lo que promovió la definición de la
estrategia para la implementación de los ODS en el país a través del CONPES 3918 (DNP, 2018a).
En este marco de referencia nacional e internacional Colombia introduce la Estrategia Nacional de Economía Circular con el objetivo de establecer nuevos elementos para el fortalecimiento del modelo de desarrollo económico, ambiental y social del país, a partir de la lógica de producir conservando y conservar produciendo, a través de la identificación de líneas de acción prioritarias y establecimiento de modelos de negocio (Gobierno de la República de Colombia, 2019), siendo el primer país en América Latina en adoptar oficialmente una política hacia la economía circular. Lo que le permite al país definir mecanismos reales para una transición tecnológica, que permita la mejora de la productividad en la producción de bienes servicios, aportando de manera positiva a la sociedad y el medio ambiente, en pro del cumplimiento de las metas establecidas en los ODS al 2030.
Por esta razón el SENA junto con el Ministerio de Ambiente y Desarrollo Sostenible y la GIZ diseñan el curso, con el fin de guiar al aprendiz en la apropiación de los fundamentos teóricos y su aplicación por medio de la interpretación de los conceptos en un campo de acción propio y de interés en la persona que tome el curso.",48.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Servicios financieros, Industria (manufacturas), Hidrocarburos y energía - renovables.","DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS","APLICACIÓN CONCEPTOS ECONOMÍA CIRCULAR CONTEXTOS PRODUCTIVOS DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS"
SENA,ANÁLISIS FINANCIERO,Análisis financiero,"En el curso análisis financiero Sena, se estudia la información contable de una empresa, mediante el uso de indicadores para diagnosticar con el debido tiempo un posible problema o continuar con pautas que estén siendo positivas y hacer cambios en estrategias que lleven a un mejor resultado económico. El aprendiz a lo largo del estudio desarrolla habilidades para analizar los resultados contables y financieros de una organización, según criterios establecidos por esta.",40.0,Certificado de aprobación,Fórmate,Otros,Servicios financieros,ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS TOMA DE DECISIONES,ANÁLISIS FINANCIERO ANÁLISIS FINANCIERO FINANZAS EMPRESA ANÁLISIS TOMA DECISIONES
SENA,APLICACIÓN DE CONCEPTOS EN CIBERSEGURIDAD,Aplicación de conceptos en ciberseguridad,"Diagnosticar la seguridad de la información de acuerdo con métodos de análisis y normativa técnica. El auge de las Tecnologías de la Información y las Comunicaciones (TIC) ha permitido a distintas actividades humanas la generación y manipulación de grandes volúmenes de datos, desde múltiples plataformas y desde cualquier lugar, lo que juega un papel fundamental en el desarrollo de las actividades cotidianas de empresas y en general del ámbito productivo. Este crecimiento en la información que gestionan las organizaciones actuales ha planteado grandes restos en materia de administración, en los cuales tiene un papel importante lo relacionado con la seguridad de la misma.
Según el Documento CONPES 3854 de 2016, el cual presenta la Política Nacional de Seguridad Digital, se proyecta que para el año 2020 se habrán generado alrededor de 307.000 empleos relacionados con la seguridad digital. En concordancia el Plan Nacional de Desarrollo 2018-2022 (PND), en lo definido en respecto de la ciberseguridad, establece metas de acción claras frente a la transformación digital del país y la adopción de políticas de seguridad de la información. Asimismo, el PND indica que el Estado proporcionará una política para la transformación digital y el aprovechamiento de la cuarta revolución industrial, a través de la [] seguridad digital [], lo que aparece reflejado en el Documento CONPES 3995 de 2020, el cual presenta la Política Nacional de Confianza y Seguridad Digital, en la cual se asigna al SENA liderará el desarrollo de programas
de formación en seguridad digital, con enfoque en la formación para el trabajo y el desarrollo humano, con los cuales se atenderán las demandas sectoriales de personal con competencias específicas en el área.
El SENA conocedor de la necesidad del sector, ofrece este programa de formación complementaria, lo cual permite que los instructores fortalezcan las competencias técnicas,
garantizando que estén capacitados, calificados y certificados para responder a estas necesidades de formación y poder aportar a la calidad y pertinencia de los aprendices en el mercado tecnológico y laboral nacional e internacional, alineado con las estrategias de gobierno y en concordancia al avance de las tecnologías a nivel mundial.",48.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, Servicios financieros",CONTROLES Y SEGURIDAD INFORMÁTICA SEGURIDAD ANTIVIRUS CIBERSEGURIDAD SOFTWARE,APLICACIÓN CONCEPTOS CIBERSEGURIDAD CONTROLES SEGURIDAD INFORMÁTICA SEGURIDAD ANTIVIRUS CIBERSEGURIDAD SOFTWARE
SENA,APLICACIÓN DE FUNCIONES Y COMBINACIONES MÚLTIPLES EN EXCEL PARA SOLUCIÓN DE PROBLEMAS,Aplicación de funciones y combinaciones múltiples en excel para solución de problemas.,"Durante el estudio del curso, se tratan los aspectos más importantes para lograr un manejo adecuado de la Hoja electrónica de Excel a un nivel avanzado; esto con el objetivo de desarrollar en la persona la competencia para el manejo de la información a través de las tecnologías informáticas.
Administrar por medio de las herramientas avanzadas de Excel, la gestión de la información de acuerdo con las políticas de la organización.",40.0,Certificado de aprobación,Fórmate Digital,TI,"BPOs, Servicios financieros, Turismo, hoteles y gastronomía, Logística y Transporte","EXCEL, ANÁLISIS DE DATOS, GESTIÓN DE INFORMACIÓN","APLICACIÓN FUNCIONES COMBINACIONES MÚLTIPLES EXCEL SOLUCIÓN PROBLEMAS. EXCEL, ANÁLISIS DATOS, GESTIÓN INFORMACIÓN"
SENA,APLICACIÓN DE HERRAMIENTAS BÁSICAS DE LA HOJA DE CALCULO MICROSOFT EXCEL,Aplicación de herramientas básicas de la hoja de calculo Microsoft excel,"La informática como tecnología de información y comunicaciones se ha convertido en una herramienta que permite a las organizaciones de diferentes sectores productivos tener un mejor nivel de productividad, competitividad y aceptación de los actuales mercados, para cumplir con estos objetivos se requiere de programas de ofimática como Excel para soportar la información y controlar el desarrollo de estrategias  organizacionales a nivel financiero, contable o estadístico, con el fin de apoyar la toma de decisiones en la organización facilitando así el desempeño profesional. ",32.0,Certificado de aprobación,Fórmate Digital,TI,"BPOs, Servicios financieros, Logística y Transporte","EXCEL, ANÁLISIS DE DATOS, GESTIÓN DE INFORMACIÓN","APLICACIÓN HERRAMIENTAS BÁSICAS HOJA CALCULO MICROSOFT EXCEL EXCEL, ANÁLISIS DATOS, GESTIÓN INFORMACIÓN"
SENA,,Aplicación de herramientas kaizen para la mejora continua en las industrias,"En la actualidad con la globalización de la economía no es suficiente ser una empresa buena, eficiente y rentable, se debe tener una cultura de cambio y vocación hacia la mejora continua, buscar siempre una nueva manera de hacer las cosas mejor, por ello las empresas colombianas requieren conocer casos exitosos a nivel mundial y tener capacitación en el tema para implementarlo en sus organizaciones y de esta manera gestionar el mejoramiento continuo.
Kaizen es hoy una palabra muy relevante en varios idiomas, ya que se trata de la filosofía asociada al sistema de producción implementado para Toyota, empresa fabricante de vehículos de origen japonés, después de la segunda guerra mundial.
La estrategia Kaizen de calidad en la empresa y en el trabajo, tanto individual como colectivo, es un modelo adoptado por múltiples compañías japonesas, que han hecho grandes avances en el desarrollo de la cultura Kaizen, todo debido a la ocupación de las fuerzas militares estadounidenses en la época de la postguerra (1950), pues trajo consigo expertos en métodos estadísticos de Control de calidad de procesos que estaban familiarizados con los programas de entrenamiento denominados TWI (Training Within Industry) cuyo propósito era proveer servicios de consultoría a las industrias relacionadas con la Guerra.                                                                                                                             El principio de clasificación, orden y aseo se ha transformado en un movimiento ligado hacia la calidad total, originado en el Japón, creado por el ingeniero Shigeo Shingo e implementado con gran éxito con el Taichí Ohno en la Toyota Motor Company.",60.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Industria (manufacturas), Turismo, hoteles y gastronomía, Hidrocarburos y energía - renovables. ","SISTEMAS DE PRODUCCIÓN, LIDERAZGO, GERENCIA, ADMINISTRACIÓN","APLICACIÓN HERRAMIENTAS KAIZEN MEJORA CONTINUA INDUSTRIAS SISTEMAS PRODUCCIÓN, LIDERAZGO, GERENCIA, ADMINISTRACIÓN"
SENA,,Aplicación de herramientas ofimáticas con microsoft excel en el entorno laboral,"El Curso se creó para brindar, a las empresas un personal capacitado para soportar los procesos de gestión de información haciendo uso de las nuevas tecnologías de la información y comunicación las cuales le permitirán tomar decisiones oportunas, eficaces y eficientes en las empresas del sector productivo.
El sena en su quehacer diario contribuye al crecimiento del país capacitando sus empleados con visión de talla mundial, permitiendo la globalización del conocimiento en nuestro país.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Industria (manufacturas), Servicios financieros, Turismo, hoteles y gastronomía, Logística y Transporte",MANEJO BÁSICO DE HERRAMIENTAS OFIMÁTICAS I WORD OFFICE POWER POINT EXCEL REDACCIÓN DE DOCUMENTOS,APLICACIÓN HERRAMIENTAS OFIMÁTICAS CON MICROSOFT EXCEL ENTORNO LABORAL MANEJO BÁSICO HERRAMIENTAS OFIMÁTICAS I WORD OFFICE POWER POINT EXCEL REDACCIÓN DOCUMENTOS
SENA,APLICACIÓN DE HERRAMIENTAS OFIMÁTICAS CON MICROSOFT WORD EN EL ENTORNO LABORAL,Aplicación de herramientas ofimáticas con microsoft word en el entorno laboral,"El Curso para el manejo de procesador de palabra en el entorno laboral - Word se creó para brindar, a las empresas un personal capacitado para soportar los procesos de gestión de información haciendo uso de las nuevas tecnologías de la información y comunicación las cuales le permitirán tomar decisiones oportunas, eficaces y eficientes en las empresas del sector productivo.
El sena en su quehacer diario contribuye al crecimiento del país capacitando sus empleados con visión de talla mundial, permitiendo la globalización del conocimiento en nuestro país.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Industria (manufacturas), Servicios financieros, Turismo, hoteles y gastronomía, Logística y Transporte",MANEJO BÁSICO DE HERRAMIENTAS OFIMÁTICAS I WORD OFFICE POWER POINT EXCEL REDACCIÓN DE DOCUMENTOS,APLICACIÓN HERRAMIENTAS OFIMÁTICAS CON MICROSOFT WORD ENTORNO LABORAL MANEJO BÁSICO HERRAMIENTAS OFIMÁTICAS I WORD OFFICE POWER POINT EXCEL REDACCIÓN DOCUMENTOS
SENA,,Aplicación de la ética y habilidades sociales en el contexto laboral ,"En todo contexto, cada individuo se enfrenta día a día a la validación de sus habilidades sociales, laborales y personales, las cuales le permiten comprenderse a sí mismo e interactuar permanentemente con el otro. Esto se convierte en una oportunidad invaluable para poner en práctica acciones de cambio mediante el manejo de sus emociones en diferentes situaciones y ámbitos; factores que aportan a la construcción de un clima laboral de una organización, que permita el mejoramiento de la productividad y satisfacción de sus trabajadores. Un ambiente de trabajo respetuoso, colaborativo, dinámico y responsable es fundamental en el aumento de la productividad y la calidad del trabajo y se alcancen los objetivos propuestos. 
Lo anterior conlleva al diseño de este programa, que brinda a quien se forme, un espacio propicio para conocer mejor su potencial como persona, identificar posibles caminos para fortalecerlo y recibir herramientas para la autogestión de su rol en el contexto laboral, que se convierte en un medio de identificación de las motivaciones internas, dándole propósito a su vida y a su quehacer diario, facilitando la comunicación asertiva, el sentido de pertenencia y el trabajo en equipo, factores generadores de valor en las competencias emocionales y organizacionales.",48.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","LIDERAZGO,HABILIDADES BLANDAS, GERENCIA, ADMINISTRACIÓN","APLICACIÓN ÉTICA HABILIDADES SOCIALES CONTEXTO LABORAL LIDERAZGO,HABILIDADES BLANDAS, GERENCIA, ADMINISTRACIÓN"
SENA,,Aplicación de metodologías para el análisis financiero empresarial,"El programa  tiene como propósito ofrecer el desarrollo de habilidades para el fortalecimiento de la toma de decisiones relacionadas con la administración de los recursos financieros y de ésta manera se posibilite la generación de valor económico en la empresa.
El programa en sus contenidos permite identificar y aplicar conceptos financieros básicos del Análisis horizontal, vertical, indicadores financieros, EVA, punto de equilibrio y apalancamientos, su importancia en la gestión y administración empresarial.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Servicios financieros. ","TOMA DE DECISIONES, ESTRATEGIA FINANCIERA, GERENCIA","APLICACIÓN METODOLOGÍAS ANÁLISIS FINANCIERO EMPRESARIAL TOMA DECISIONES, ESTRATEGIA FINANCIERA, GERENCIA"
